Name,Year,Month,Day,Hour,Lat,Lon,Intensity_MSLP,Intensity_WS
ALLEN,1980,08,01,00,10.8,-34.3,1010.0,30.0
ALLEN,1980,08,01,06,10.7,-36.4,1009.0,30.0
ALLEN,1980,08,01,12,10.7,-38.6,1008.0,30.0
ALLEN,1980,08,01,18,10.7,-40.7,1006.0,30.0
ALLEN,1980,08,02,00,11.0,-42.8,1005.0,35.0
ALLEN,1980,08,02,06,11.4,-44.8,1000.0,45.0
ALLEN,1980,08,02,12,11.9,-46.9,995.0,55.0
ALLEN,1980,08,02,18,12.3,-49.1,990.0,60.0
ALLEN,1980,08,03,00,12.4,-51.4,985.0,65.0
ALLEN,1980,08,03,06,12.6,-53.6,980.0,70.0
ALLEN,1980,08,03,12,12.8,-55.6,975.0,80.0
ALLEN,1980,08,03,18,12.9,-57.5,965.0,95.0
ALLEN,1980,08,04,00,13.3,-59.1,950.0,110.0
ALLEN,1980,08,04,06,13.6,-61.0,948.0,115.0
ALLEN,1980,08,04,12,14.0,-63.0,945.0,125.0
ALLEN,1980,08,04,18,14.4,-64.9,930.0,130.0
ALLEN,1980,08,05,00,14.8,-66.7,911.0,140.0
ALLEN,1980,08,05,06,15.4,-68.6,916.0,145.0
ALLEN,1980,08,05,12,15.9,-70.5,932.0,155.0
ALLEN,1980,08,05,18,16.5,-72.3,940.0,150.0
ALLEN,1980,08,06,00,17.8,-73.8,945.0,140.0
ALLEN,1980,08,06,06,18.3,-75.9,955.0,115.0
ALLEN,1980,08,06,12,19.2,-78.0,955.0,115.0
ALLEN,1980,08,06,18,20.0,-80.1,955.0,125.0
ALLEN,1980,08,07,00,20.1,-81.9,945.0,135.0
ALLEN,1980,08,07,06,20.4,-83.6,935.0,145.0
ALLEN,1980,08,07,12,21.0,-84.8,910.0,155.0
ALLEN,1980,08,07,18,21.8,-86.4,899.0,165.0
ALLEN,1980,08,08,00,22.2,-87.9,920.0,155.0
ALLEN,1980,08,08,06,22.8,-89.2,945.0,130.0
ALLEN,1980,08,08,12,23.4,-90.5,960.0,115.0
ALLEN,1980,08,08,18,23.9,-91.8,940.0,130.0
ALLEN,1980,08,09,00,24.5,-93.0,912.0,145.0
ALLEN,1980,08,09,06,25.0,-94.2,909.0,155.0
ALLEN,1980,08,09,12,25.2,-95.4,916.0,140.0
ALLEN,1980,08,09,18,25.4,-96.1,925.0,125.0
ALLEN,1980,08,10,00,25.8,-96.8,935.0,110.0
ALLEN,1980,08,10,06,26.1,-97.2,945.0,100.0
ALLEN,1980,08,10,12,26.7,-98.1,960.0,85.0
ALLEN,1980,08,10,18,27.3,-99.0,970.0,70.0
ALLEN,1980,08,11,00,27.7,-99.8,990.0,60.0
ALLEN,1980,08,11,06,28.0,-100.9,1000.0,45.0
ALLEN,1980,08,11,12,28.5,-101.9,1005.0,30.0
ALLEN,1980,08,11,18,28.9,-102.9,1008.0,30.0
BONNIE,1980,08,14,00,12.7,-35.5,1010.0,25.0
BONNIE,1980,08,14,06,13.5,-36.6,1008.0,30.0
BONNIE,1980,08,14,12,14.7,-37.3,1005.0,35.0
BONNIE,1980,08,14,18,15.7,-37.5,1000.0,45.0
BONNIE,1980,08,15,00,16.7,-37.8,1000.0,45.0
BONNIE,1980,08,15,06,17.7,-37.9,1000.0,45.0
BONNIE,1980,08,15,12,18.8,-38.1,1000.0,45.0
BONNIE,1980,08,15,18,20.4,-38.5,995.0,55.0
BONNIE,1980,08,16,00,22.0,-38.7,985.0,75.0
BONNIE,1980,08,16,06,23.7,-38.9,975.0,85.0
BONNIE,1980,08,16,12,24.8,-39.1,975.0,85.0
BONNIE,1980,08,16,18,25.8,-39.4,975.0,85.0
BONNIE,1980,08,17,00,27.0,-39.7,985.0,75.0
BONNIE,1980,08,17,06,28.0,-40.0,990.0,65.0
BONNIE,1980,08,17,12,29.0,-40.3,990.0,65.0
BONNIE,1980,08,17,18,30.0,-40.5,990.0,65.0
BONNIE,1980,08,18,00,31.1,-40.5,990.0,65.0
BONNIE,1980,08,18,06,32.4,-40.5,990.0,65.0
BONNIE,1980,08,18,12,34.0,-40.5,990.0,65.0
BONNIE,1980,08,18,18,35.9,-40.5,990.0,65.0
BONNIE,1980,08,19,00,38.2,-40.2,990.0,65.0
BONNIE,1980,08,19,06,41.9,-39.8,990.0,65.0
BONNIE,1980,08,19,12,46.5,-38.4,995.0,65.0
BONNIE,1980,08,19,18,51.0,-36.0,1000.0,45.0
CHARLEY,1980,08,20,12,36.0,-73.0,1010.0,25.0
CHARLEY,1980,08,20,18,35.0,-72.0,1008.0,25.0
CHARLEY,1980,08,21,00,34.0,-71.0,1006.0,30.0
CHARLEY,1980,08,21,06,33.4,-69.5,1005.0,30.0
CHARLEY,1980,08,21,12,34.0,-68.0,1003.0,35.0
CHARLEY,1980,08,21,18,34.8,-66.8,1002.0,40.0
CHARLEY,1980,08,22,00,35.8,-65.7,1000.0,45.0
CHARLEY,1980,08,22,06,37.0,-64.8,998.0,50.0
CHARLEY,1980,08,22,12,38.3,-64.7,996.0,55.0
CHARLEY,1980,08,22,18,39.1,-64.9,994.0,60.0
CHARLEY,1980,08,23,00,39.6,-65.9,992.0,65.0
CHARLEY,1980,08,23,06,38.9,-66.7,990.0,70.0
CHARLEY,1980,08,23,12,38.2,-66.0,989.0,70.0
CHARLEY,1980,08,23,18,38.0,-64.7,990.0,70.0
CHARLEY,1980,08,24,00,38.0,-63.1,991.0,65.0
CHARLEY,1980,08,24,06,37.9,-61.7,994.0,60.0
CHARLEY,1980,08,24,12,37.9,-60.2,998.0,55.0
CHARLEY,1980,08,24,18,37.9,-58.2,1000.0,45.0
CHARLEY,1980,08,25,00,38.0,-55.0,1001.0,35.0
CHARLEY,1980,08,25,06,38.1,-51.3,1002.0,35.0
CHARLEY,1980,08,25,12,38.2,-47.0,1004.0,35.0
CHARLEY,1980,08,25,18,38.5,-42.2,1005.0,35.0
GEORGES,1980,09,01,00,15.6,-38.0,1010.0,30.0
GEORGES,1980,09,01,06,15.9,-39.4,1010.0,30.0
GEORGES,1980,09,01,12,16.3,-40.8,1010.0,30.0
GEORGES,1980,09,01,18,16.8,-42.1,1010.0,30.0
GEORGES,1980,09,02,00,17.3,-43.7,1010.0,30.0
GEORGES,1980,09,02,06,17.5,-45.7,1010.0,30.0
GEORGES,1980,09,02,12,17.7,-48.1,1010.0,30.0
GEORGES,1980,09,02,18,17.8,-50.3,1010.0,30.0
GEORGES,1980,09,03,00,17.9,-52.4,1010.0,30.0
GEORGES,1980,09,03,06,18.0,-54.5,1010.0,30.0
GEORGES,1980,09,03,12,18.6,-56.9,1010.0,30.0
GEORGES,1980,09,03,18,19.7,-59.0,1011.0,25.0
GEORGES,1980,09,04,00,21.0,-61.0,1012.0,20.0
GEORGES,1980,09,04,06,22.1,-62.3,1012.0,20.0
GEORGES,1980,09,04,12,23.4,-63.6,1013.0,20.0
GEORGES,1980,09,04,18,24.8,-64.8,1013.0,20.0
GEORGES,1980,09,05,00,26.1,-65.8,1014.0,20.0
GEORGES,1980,09,05,06,27.5,-67.0,1014.0,20.0
GEORGES,1980,09,05,12,28.5,-68.6,1014.0,25.0
GEORGES,1980,09,05,18,29.0,-69.4,1013.0,30.0
GEORGES,1980,09,06,00,29.7,-70.0,1013.0,30.0
GEORGES,1980,09,06,06,30.6,-70.0,1010.0,30.0
GEORGES,1980,09,06,12,31.7,-69.6,1008.0,30.0
GEORGES,1980,09,06,18,32.9,-69.1,1007.0,30.0
GEORGES,1980,09,07,00,34.4,-67.9,1004.0,40.0
GEORGES,1980,09,07,06,35.9,-65.9,1002.0,45.0
GEORGES,1980,09,07,12,37.3,-63.7,1000.0,50.0
GEORGES,1980,09,07,18,38.6,-61.5,997.0,55.0
GEORGES,1980,09,08,00,40.2,-59.0,993.0,70.0
GEORGES,1980,09,08,06,42.9,-55.1,993.0,70.0
GEORGES,1980,09,08,12,45.6,-51.1,993.0,70.0
GEORGES,1980,09,08,18,48.0,-46.9,993.0,65.0
EARL,1980,09,04,12,17.7,-24.0,1008.0,25.0
EARL,1980,09,04,18,17.4,-25.3,1006.0,30.0
EARL,1980,09,05,00,17.8,-26.7,1003.0,35.0
EARL,1980,09,05,06,18.2,-28.0,1000.0,40.0
EARL,1980,09,05,12,18.8,-29.5,999.0,40.0
EARL,1980,09,05,18,19.2,-31.0,999.0,40.0
EARL,1980,09,06,00,19.7,-32.0,999.0,40.0
EARL,1980,09,06,06,20.3,-33.8,999.0,40.0
EARL,1980,09,06,12,21.0,-35.5,998.0,45.0
EARL,1980,09,06,18,21.5,-36.5,997.0,45.0
EARL,1980,09,07,00,22.2,-37.8,996.0,45.0
EARL,1980,09,07,06,23.2,-38.8,996.0,45.0
EARL,1980,09,07,12,25.0,-39.7,995.0,45.0
EARL,1980,09,07,18,27.0,-40.3,993.0,50.0
EARL,1980,09,08,00,29.0,-41.2,992.0,60.0
EARL,1980,09,08,06,30.4,-42.5,988.0,65.0
EARL,1980,09,08,12,32.0,-43.5,985.0,65.0
EARL,1980,09,08,18,33.3,-44.1,986.0,65.0
EARL,1980,09,09,00,34.7,-44.3,988.0,65.0
EARL,1980,09,09,06,36.3,-43.8,990.0,65.0
EARL,1980,09,09,12,38.0,-43.1,991.0,65.0
EARL,1980,09,09,18,40.5,-41.5,992.0,65.0
EARL,1980,09,10,00,43.0,-39.0,994.0,65.0
EARL,1980,09,10,06,45.2,-36.0,995.0,65.0
DANIELLE,1980,09,04,18,28.3,-90.6,1010.0,25.0
DANIELLE,1980,09,05,00,28.3,-91.3,1010.0,25.0
DANIELLE,1980,09,05,06,28.4,-91.8,1009.0,25.0
DANIELLE,1980,09,05,12,28.8,-92.4,1008.0,30.0
DANIELLE,1980,09,05,18,29.4,-93.4,1004.0,50.0
DANIELLE,1980,09,06,00,29.4,-94.9,1004.0,40.0
DANIELLE,1980,09,06,06,29.3,-96.3,1008.0,35.0
DANIELLE,1980,09,06,12,29.1,-97.0,1008.0,30.0
DANIELLE,1980,09,06,18,29.0,-97.8,1008.0,25.0
DANIELLE,1980,09,07,00,29.0,-98.3,1010.0,20.0
DANIELLE,1980,09,07,06,29.0,-99.0,1010.0,20.0
DANIELLE,1980,09,07,12,29.0,-100.0,1010.0,20.0
FRANCES,1980,09,06,00,12.5,-19.0,1010.0,25.0
FRANCES,1980,09,06,06,12.5,-20.0,1009.0,25.0
FRANCES,1980,09,06,12,12.6,-21.0,1008.0,30.0
FRANCES,1980,09,06,18,12.7,-21.8,1005.0,35.0
FRANCES,1980,09,07,00,12.8,-22.5,1002.0,40.0
FRANCES,1980,09,07,06,12.9,-23.2,998.0,45.0
FRANCES,1980,09,07,12,13.0,-24.0,994.0,55.0
FRANCES,1980,09,07,18,13.0,-24.8,990.0,60.0
